	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0110416412354","-3.59716868842952E-05"
"2","0.021707","-19.9611377716064","-3.59189398295712E-05"
"3","0.043413","-19.9109306335449","-3.59149344149046E-05"
"4","0.06512","-19.8609924316406","-3.58816869265866E-05"
"5","0.086826","-19.81103515625","-3.58483412128408E-05"
"6","0.108532","-19.7607727050781","-3.58228062395938E-05"
"7","0.130239","-19.7108612060547","-3.58062134182546E-05"
"8","0.151945","-19.6609210968018","-3.57606404577382E-05"
"9","0.173651","-19.6110305786133","-3.57440694642719E-05"
"10","0.195358","-19.5607833862305","-3.57194039679598E-05"
"11","0.217064","-19.5109405517578","-3.56959826603997E-05"
"12","0.238771","-19.4610900878906","-3.56467244273517E-05"
"13","0.260477","-19.4108848571777","-3.5613131331047E-05"
"14","0.282184","-19.3610229492188","-3.55852134816814E-05"
"15","0.303891","-19.3111209869385","-3.55610973201692E-05"
"16","0.325597","-19.2609176635742","-3.55292177118827E-05"
"17","0.347303","-19.210958480835","-3.54804142261855E-05"
"18","0.36901","-19.1610488891602","-3.54678486473858E-05"
"19","0.390716","-19.1108131408691","-3.54397416231222E-05"
"20","0.412423","-19.0609130859375","-3.54225740011316E-05"
"21","0.434129","-19.0109443664551","-3.53890281985514E-05"
"22","0.455836","-18.9609870910645","-3.53683717548847E-05"
"23","0.477542","-18.9107246398926","-3.53393297700677E-05"
"24","0.499249","-18.8608436584473","-3.53012546838727E-05"
