	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0110359191895","-2.8137123081251E-05"
"2","0.021707","-19.9611320495605","-2.80775548162637E-05"
"3","0.043414","-19.9109001159668","-2.80356034636497E-05"
"4","0.06512","-19.8609752655029","-2.80129188467981E-05"
"5","0.086826","-19.8110294342041","-2.79709929600358E-05"
"6","0.108533","-19.7607765197754","-2.79498690360924E-05"
"7","0.130239","-19.7108535766602","-2.79254436463816E-05"
"8","0.151946","-19.6609344482422","-2.79024352494162E-05"
"9","0.173653","-19.6110305786133","-2.78773532045307E-05"
"10","0.195359","-19.5607604980469","-2.78604384220671E-05"
"11","0.217066","-19.5109443664551","-2.78307434200542E-05"
"12","0.238773","-19.4610805511475","-2.78074021480279E-05"
"13","0.260479","-19.4109058380127","-2.77849539997987E-05"
"14","0.282186","-19.3610038757324","-2.77642720902804E-05"
"15","0.303893","-19.3111324310303","-2.77206054306589E-05"
"16","0.3256","-19.2609233856201","-2.76983246294549E-05"
"17","0.347306","-19.2109470367432","-2.7680038328981E-05"
"18","0.369013","-19.1610317230225","-2.76840564765735E-05"
"19","0.39072","-19.1108055114746","-2.7662359570968E-05"
"20","0.412427","-19.0608673095703","-2.76241535175359E-05"
"21","0.434134","-19.0108661651611","-2.76041264442028E-05"
"22","0.455841","-18.9609565734863","-2.75772563327337E-05"
"23","0.477547","-18.9107055664063","-2.75586007774109E-05"
"24","0.499253","-18.8607940673828","-2.75183429039316E-05"
"25","0.52096","-18.8109111785889","-2.74913654720876E-05"
"26","0.542666","-18.7606258392334","-2.74726862699026E-05"
"27","0.564373","-18.7107048034668","-2.74566409643739E-05"
"28","0.58608","-18.6607570648193","-2.74294361588545E-05"
"29","0.607787","-18.6105136871338","-2.74087906291243E-05"
"30","0.629494","-18.560619354248","-2.73821460723411E-05"
"31","0.6512","-18.5106925964355","-2.73685218417086E-05"
"32","0.672907","-18.4604549407959","-2.73436544375727E-05"
"33","0.694613","-18.4105319976807","-2.73186560661998E-05"
"34","0.716319","-18.3606071472168","-2.72956476692343E-05"
"35","0.738025","-18.3106842041016","-2.72920478892047E-05"
"36","0.759732","-18.2604312896729","-2.72731540462701E-05"
"37","0.781438","-18.2105445861816","-2.72539491561474E-05"
