	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0112361907959","-7.54632928874344E-05"
"2","0.021707","-19.9613571166992","-7.53951026126742E-05"
"3","0.043414","-19.9111270904541","-7.53405402065255E-05"
"4","0.065121","-19.8611927032471","-7.52850173739716E-05"
"5","0.086827","-19.8112277984619","-7.52320265746675E-05"
"6","0.108534","-19.7609996795654","-7.51772749936208E-05"
"7","0.13024","-19.7110710144043","-7.51228435547091E-05"
"8","0.151946","-19.6610927581787","-7.50657636672258E-05"
"9","0.173653","-19.6112213134766","-7.50077451812103E-05"
"10","0.195359","-19.5609455108643","-7.49522077967413E-05"
"11","0.217065","-19.5111389160156","-7.4883115303237E-05"
"12","0.238772","-19.4612693786621","-7.48109232517891E-05"
"13","0.260479","-19.4110794067383","-7.47450103517622E-05"
"14","0.282186","-19.3612270355225","-7.46815057937056E-05"
"15","0.303893","-19.3113288879395","-7.46189543860964E-05"
"16","0.325599","-19.2610912322998","-7.45554061722942E-05"
"17","0.347306","-19.2111434936523","-7.44973149267025E-05"
"18","0.369012","-19.1612224578857","-7.44357821531594E-05"
"19","0.390718","-19.110969543457","-7.43758428143337E-05"
"20","0.412425","-19.0610599517822","-7.43181808502413E-05"
"21","0.434132","-19.0111122131348","-7.42573975003324E-05"
"22","0.455839","-18.9611587524414","-7.41968469810672E-05"
"23","0.477545","-18.9109134674072","-7.4135372415185E-05"
"24","0.499252","-18.8609809875488","-7.40755276638083E-05"
"25","0.520959","-18.8110771179199","-7.40157483960502E-05"
"26","0.542665","-18.760871887207","-7.39502647775225E-05"
"27","0.564371","-18.7108879089355","-7.38911112421192E-05"
"28","0.586078","-18.6609668731689","-7.38282687962055E-05"
"29","0.607784","-18.6107368469238","-7.37626396585256E-05"
"30","0.629491","-18.5608100891113","-7.37003065296449E-05"
"31","0.651197","-18.510892868042","-7.36396323191002E-05"
"32","0.672904","-18.4606342315674","-7.35758731025271E-05"
"33","0.694611","-18.4107112884521","-7.35119538148865E-05"
"34","0.716318","-18.3607482910156","-7.34487257432193E-05"
"35","0.738025","-18.3108310699463","-7.33871784177609E-05"
"36","0.759731","-18.2605781555176","-7.33215347281657E-05"
"37","0.781438","-18.2106895446777","-7.32586122467183E-05"
"38","0.803145","-18.1607418060303","-7.31957625248469E-05"
"39","0.824852","-18.1104698181152","-7.31305699446239E-05"
"40","0.846558","-18.0606002807617","-7.30668980395421E-05"
"41","0.868265","-18.0106773376465","-7.30040192138404E-05"
"42","0.889972","-17.9604377746582","-7.29383464204147E-05"
"43","0.911679","-17.9105205535889","-7.28733793948777E-05"
"44","0.933386","-17.8605880737305","-7.28098457329907E-05"
"45","0.955093","-17.8103332519531","-7.27456281310879E-05"
"46","0.9768","-17.7603912353516","-7.2681374149397E-05"
"47","0.998506","-17.7104072570801","-7.26156577002257E-05"
"48","1.020213","-17.6602096557617","-7.2551702032797E-05"
"49","1.04192","-17.6103038787842","-7.248673500726E-05"
"50","1.063627","-17.5603847503662","-7.24205383448862E-05"
"51","1.085334","-17.5104427337646","-7.23554112482816E-05"
"52","1.107041","-17.4602127075195","-7.22945333109237E-05"
"53","1.128748","-17.4101734161377","-7.22263284842484E-05"
"54","1.150455","-17.3603267669678","-7.21581527614035E-05"
"55","1.172161","-17.3100967407227","-7.20943571650423E-05"
"56","1.193867","-17.2601985931396","-7.20282332622446E-05"
"57","1.215574","-17.21022605896","-7.19603413017467E-05"
