	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0112800598145","-5.67877650610171E-05"
"2","0.021706","-19.9613933563232","-5.67293282074388E-05"
"3","0.043413","-19.9111843109131","-5.66806193091907E-05"
"4","0.065119","-19.8612308502197","-5.66380476811901E-05"
"5","0.086825","-19.8113021850586","-5.6597767979838E-05"
"6","0.108532","-19.7610473632813","-5.65511581953615E-05"
"7","0.130238","-19.7110748291016","-5.6505868997192E-05"
"8","0.151945","-19.6611595153809","-5.6464814406354E-05"
"9","0.173652","-19.6112403869629","-5.64211841265205E-05"
"10","0.195359","-19.5610332489014","-5.63723660889082E-05"
"11","0.217066","-19.5111808776855","-5.63160174351651E-05"
"12","0.238772","-19.4613380432129","-5.62702989554964E-05"
"13","0.260478","-19.4111461639404","-5.62117566005327E-05"
"14","0.282185","-19.3613090515137","-5.61579217901453E-05"
"15","0.303891","-19.3113555908203","-5.61129199923016E-05"
"16","0.325598","-19.2611541748047","-5.60721491638105E-05"
"17","0.347305","-19.2111759185791","-5.60197950107977E-05"
"18","0.369012","-19.161262512207","-5.59694162802771E-05"
"19","0.390719","-19.1110496520996","-5.59230902581476E-05"
"20","0.412425","-19.0610980987549","-5.58767787879333E-05"
"21","0.434132","-19.0111827850342","-5.58266146981623E-05"
"22","0.455839","-18.9612216949463","-5.57811472390313E-05"
"23","0.477545","-18.9110260009766","-5.57309722353239E-05"
"24","0.499252","-18.8610687255859","-5.5681917729089E-05"
