	Common Settings,	
	.Source/Sweep Points,	1001
	.Repeat,	0
	.Source to Measure Delay,	0.005
	.Measure Window,	16.667 ms
	.NPLC,	1
	.Channel,	SMU-1
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	-20
	...Stop,	30
	...Step,	0.05
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False
	.,	
	..Instrument,	My 2612B
	...Model,	2612B
	...Serial Number,	4418100
	..Source Settings,	
	...Mode,	DC
	...Function,	Voltage Sweep
	...Type,	Linear
	...Dual Sweep,	Disabled
	...Range,	Auto
	...Start,	0
	...Stop,	5
	...Step,	0.005
	...Limit,	0.1
	..Measure Settings,	
	...Voltage,	Measured
	...Current,	True
	...Range,	Auto
	...Minimum Range,	1E-07
	...Resistance,	False
	...Power,	False
	...Auto Zero,	On
	..Instrument Settings,	
	...Input Terminals,	Rear
	...Sense,	2-Wire
	...Output Off,	Normal
	...High Capacitance,	False

"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"1","0","-20.0111389160156","-5.69955554965418E-05"
"2","0.021707","-19.9612216949463","-5.69323055970017E-05"
"3","0.043414","-19.9110221862793","-5.68921568628866E-05"
"4","0.065121","-19.8610801696777","-5.68489667784888E-05"
"5","0.086828","-19.8111381530762","-5.68026880500838E-05"
"6","0.108535","-19.7608833312988","-5.67557690374088E-05"
"7","0.130242","-19.7109909057617","-5.67175120522734E-05"
"8","0.151949","-19.6610488891602","-5.66690796404146E-05"
"9","0.173656","-19.6110916137695","-5.66233611607458E-05"
"10","0.195363","-19.5609188079834","-5.65791233384516E-05"
"11","0.217069","-19.5110626220703","-5.65230366191827E-05"
"12","0.238776","-19.4611930847168","-5.64648362342268E-05"
"13","0.260483","-19.4110317230225","-5.64113724976778E-05"
"14","0.28219","-19.3611488342285","-5.63626053917687E-05"
"15","0.303897","-19.3112449645996","-5.63184112252202E-05"
"16","0.325603","-19.2610092163086","-5.6263612350449E-05"
"17","0.34731","-19.2111206054688","-5.6220123951789E-05"
"18","0.369017","-19.1611595153809","-5.61758388357703E-05"
"19","0.390724","-19.1109580993652","-5.61264023417607E-05"
"20","0.412431","-19.0610218048096","-5.60809821763542E-05"
"21","0.434138","-19.0110778808594","-5.60303087695502E-05"
"22","0.455844","-18.9611015319824","-5.59804066142533E-05"
"23","0.477551","-18.9108562469482","-5.59397558390629E-05"
"24","0.499258","-18.8609580993652","-5.58881984034088E-05"
"25","0.520965","-18.81103515625","-5.58417305001058E-05"
"26","0.542672","-18.7607936859131","-5.57983621547464E-05"
"27","0.564378","-18.7108516693115","-5.57499151909724E-05"
"28","0.586084","-18.6609344482422","-5.56983468413819E-05"
"29","0.607791","-18.610725402832","-5.56478953512851E-05"
"30","0.629497","-18.5607624053955","-5.55990336579271E-05"
"31","0.651204","-18.5108642578125","-5.55505721422378E-05"
"32","0.67291","-18.4605884552002","-5.54998732695822E-05"
"33","0.694617","-18.4107036590576","-5.54488869966008E-05"
"34","0.716323","-18.3607635498047","-5.54018588445615E-05"
"35","0.73803","-18.3108139038086","-5.53583849978168E-05"
"36","0.759736","-18.2606220245361","-5.53044192201924E-05"
"37","0.781443","-18.2106704711914","-5.52563760720659E-05"
"38","0.803149","-18.1607208251953","-5.52069541299716E-05"
"39","0.824856","-18.1104946136475","-5.51566954527516E-05"
"40","0.846563","-18.0605735778809","-5.51074117538519E-05"
"41","0.86827","-18.0106582641602","-5.50566073798109E-05"
"42","0.889977","-17.9604320526123","-5.50078257219866E-05"
"43","0.911683","-17.9104766845703","-5.49578180653043E-05"
"44","0.933389","-17.8605651855469","-5.49123869859613E-05"
"45","0.955096","-17.8103561401367","-5.48614734725561E-05"
"46","0.976802","-17.7604064941406","-5.48142197658308E-05"
"47","0.998509","-17.7103595733643","-5.47615381947253E-05"
"48","1.020216","-17.660213470459","-5.47155977983493E-05"
"49","1.041922","-17.6102924346924","-5.46592564205639E-05"
"50","1.063628","-17.5603446960449","-5.46072005818132E-05"
"51","1.085335","-17.5104293823242","-5.45588118257001E-05"
"52","1.107042","-17.4602203369141","-5.45091388630681E-05"
"53","1.128748","-17.4101848602295","-5.44566391909029E-05"
"54","1.150455","-17.3603248596191","-5.4408454161603E-05"
"55","1.172162","-17.3101043701172","-5.43597561772913E-05"
"56","1.193869","-17.2601585388184","-5.43094611202832E-05"
"57","1.215576","-17.2102508544922","-5.42527777724899E-05"
"58","1.237282","-17.1599960327148","-5.42018860869575E-05"
"59","1.258989","-17.110050201416","-5.41532608622219E-05"
"60","1.280696","-17.0601348876953","-5.41028493898921E-05"
"61","1.302403","-17.0098838806152","-5.40533037565183E-05"
"62","1.324109","-16.9599380493164","-5.40030596312135E-05"
"63","1.345815","-16.9100036621094","-5.39600478077773E-05"
"64","1.367521","-16.8600845336914","-5.39000611752272E-05"
"65","1.389228","-16.8098468780518","-5.38488966412842E-05"
"66","1.410934","-16.7599124908447","-5.38023086846806E-05"
"67","1.432641","-16.7100124359131","-5.37434789293911E-05"
"68","1.454348","-16.6597728729248","-5.36966908839531E-05"
"69","1.476055","-16.6098499298096","-5.36440347786993E-05"
"70","1.497762","-16.5599098205566","-5.35883773409296E-05"
"71","1.519469","-16.5096759796143","-5.3539130021818E-05"
"72","1.541176","-16.4597682952881","-5.34903520019725E-05"
"73","1.562882","-16.409797668457","-5.34389364474919E-05"
"74","1.584589","-16.3596000671387","-5.33828715560958E-05"
"75","1.606296","-16.3096389770508","-5.33307538717054E-05"
"76","1.628002","-16.2597255706787","-5.32851081516128E-05"
"77","1.649709","-16.2097568511963","-5.32304256921634E-05"
"78","1.671416","-16.1595687866211","-5.31719306309242E-05"
"79","1.693123","-16.1096153259277","-5.31247133039869E-05"
"80","1.714829","-16.0596351623535","-5.30741672264412E-05"
"81","1.736536","-16.0094356536865","-5.30195466126315E-05"
"82","1.758242","-15.9594583511353","-5.29683820786886E-05"
"83","1.779949","-15.9095363616943","-5.29129974893294E-05"
"84","1.801655","-15.8592987060547","-5.28589480381925E-05"
"85","1.823362","-15.8094024658203","-5.2805757150054E-05"
"86","1.845068","-15.7594470977783","-5.27505617355928E-05"
"87","1.866774","-15.70920753479","-5.26993608218618E-05"
"88","1.888481","-15.6593084335327","-5.26491385244299E-05"
"89","1.910188","-15.6093692779541","-5.25975447089877E-05"
"90","1.931894","-15.5593919754028","-5.25424475199543E-05"
"91","1.953601","-15.509183883667","-5.24957758898381E-05"
"92","1.975308","-15.4592323303223","-5.24415372638032E-05"
"93","1.997015","-15.4093341827393","-5.23870330653153E-05"
"94","2.018721","-15.3590631484985","-5.23283451911993E-05"
"95","2.040428","-15.3091239929199","-5.22761802130844E-05"
"96","2.062135","-15.259256362915","-5.2223025704734E-05"
"97","2.083842","-15.2090244293213","-5.21683796250727E-05"
"98","2.105549","-15.1591186523438","-5.21134352311492E-05"
"99","2.127255","-15.1091651916504","-5.20656685694121E-05"
"100","2.148962","-15.0588779449463","-5.20105713803787E-05"
"101","2.170668","-15.0089569091797","-5.19577624800149E-05"
"102","2.192375","-14.9590635299683","-5.19039022037759E-05"
"103","2.214081","-14.9091262817383","-5.18474444106687E-05"
"104","2.235788","-14.8589057922363","-5.17938133270945E-05"
"105","2.257494","-14.8089714050293","-5.17411463079043E-05"
"106","2.2792","-14.7590160369873","-5.16905056429096E-05"
"107","2.300907","-14.7088165283203","-5.16340478498023E-05"
"108","2.322614","-14.6588535308838","-5.15813590027392E-05"
"109","2.344321","-14.6089267730713","-5.15279643877875E-05"
"110","2.366028","-14.5586891174316","-5.14738785568625E-05"
"111","2.387735","-14.5087795257568","-5.14175408170559E-05"
"112","2.409441","-14.4588375091553","-5.136181061971E-05"
"113","2.431148","-14.4085865020752","-5.13094892085064E-05"
"114","2.452855","-14.3586807250977","-5.12531878484879E-05"
"115","2.474561","-14.3087463378906","-5.1198872824898E-05"
"116","2.496267","-14.258487701416","-5.11478174303193E-05"
"117","2.517973","-14.2085628509521","-5.10961763211526E-05"
"118","2.53968","-14.1586494445801","-5.10391946590971E-05"
"119","2.561387","-14.1086626052856","-5.09852652612608E-05"
"120","2.583094","-14.0584964752197","-5.09325000166427E-05"
"121","2.604801","-14.0085430145264","-5.08742814417928E-05"
